rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.69340696416285,77.86137205886645,300621,维业股份,bottom_area,2024-06-04,7.95,2024-06-04,7.73,2.8460543337645503,4.0103492884864,27.621722846441944,False,0.2522,1.751,1,1,1,100.0,28.120300751879686,28.120300751879686,17.15394566623545,2.8460543337645503,历史1/1次成功; 当前距低点2.85%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
2,83.13041239824194,72.68906874221906,688205,德科立,bottom_area,2024-06-04,31.23,2024-06-04,30.43,2.628984554715743,5.718041406506743,29.034514925373138,False,-2.922,3.7483,1,1,1,100.0,20.12448132780082,20.12448132780082,17.371015445284257,2.628984554715743,历史1/1次成功; 当前距低点2.63%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
3,82.11272897104777,69.91776922287238,002551,尚荣医疗,bottom_area,2024-06-04,2.58,2024-06-04,2.55,1.176470588235304,2.745098039215698,27.142857142857146,False,-1.5267,2.12,2,4,2,50.0,45.75334496800466,52.61780104712043,18.823529411764696,1.176470588235304,历史2/4次成功; 当前距低点1.18%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
4,76.26210865350859,68.20114942528737,300644,南京聚隆,bottom_area,2024-06-04,22.59,2024-06-04,21.75,3.862068965517241,5.195402298850571,29.566062176165804,False,-0.3529,13.0157,2,3,2,66.66666666666666,61.70130689005596,78.38246409674981,16.13793103448276,3.862068965517241,历史2/3次成功; 当前距低点3.86%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
5,75.91442295934424,64.04287237312829,688236,春立医疗,bottom_area,2024-06-04,16.54,2024-06-04,16.43,0.6695069993913538,4.077906269020096,31.541666666666668,False,-3.7813,5.3433,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,19.330493000608648,0.6695069993913538,历史2/3次成功; 当前距低点0.67%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
6,74.73379097333029,67.82969683154775,000882,华联股份,bottom_area,2024-06-04,1.12,2024-06-04,1.07,4.672897196261686,8.411214953271013,29.13907284768212,False,-5.8824,4.6284,1,1,1,100.0,29.268292682926838,29.268292682926838,15.327102803738315,4.672897196261686,历史1/1次成功; 当前距低点4.67%; 最新日涨幅-5.88%; 状态bottom_area; 底部未确认
7,70.7026211711704,61.075614239654975,603011,合锻智能,bottom_area,2024-06-04,6.23,2024-06-04,6.11,1.9639934533551573,3.9279869067103,28.953488372093016,False,-1.8898,2.7612,1,2,1,50.0,41.201716738197426,41.201716738197426,18.036006546644845,1.9639934533551573,历史1/2次成功; 当前距低点1.96%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
8,69.64343311269042,59.80666313418077,688357,建龙微纳,bottom_area,2024-06-04,26.63,2024-06-04,26.2,1.6412213740458006,5.038167938931299,29.871520342612424,False,-3.2692,1.4041,2,5,2,40.0,28.97122509142576,31.65083135391925,18.3587786259542,1.6412213740458006,历史2/5次成功; 当前距低点1.64%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
9,68.30862992397707,58.8446019539373,300511,雪榕生物,bottom_area,2024-06-04,3.37,2024-06-04,3.31,1.8126888217522674,5.438066465256802,30.89770354906054,False,-3.7143,3.1161,2,5,2,40.0,25.900712191034756,29.220779220779214,18.187311178247732,1.8126888217522674,历史2/5次成功; 当前距低点1.81%; 最新日涨幅-3.71%; 状态bottom_area; 底部未确认
10,67.73989927680417,59.704056056259034,000514,渝开发,bottom_area,2024-06-04,3.7,2024-06-04,3.59,3.064066852367697,5.013927576601676,28.62823061630219,False,0.0,5.3625,1,2,1,50.0,24.839400428265527,24.839400428265527,16.935933147632305,3.064066852367697,历史1/2次成功; 当前距低点3.06%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,67.7184641755916,57.94567398751291,301382,蜂助手,bottom_area,2024-06-04,18.95,2024-06-04,18.68,1.4453961456102762,4.925053533190588,28.37423312883435,False,-4.002,3.093,1,3,1,33.33333333333333,47.676579925650564,47.676579925650564,18.554603854389725,1.4453961456102762,历史1/3次成功; 当前距低点1.45%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
12,66.74762754699097,57.12846153846153,002693,双成药业,bottom_area,2024-06-04,4.87,2024-06-04,4.8,1.4583333333333393,4.375,28.143712574850298,False,-2.7944,1.7125,1,4,1,25.0,34.61538461538462,34.61538461538462,18.54166666666666,1.4583333333333393,历史1/4次成功; 当前距低点1.46%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
13,64.29105361117982,55.881826923076936,002329,皇氏集团,bottom_area,2024-06-04,3.11,2024-06-04,3.04,2.3026315789473633,7.565789473684211,28.971962616822434,False,-5.1829,4.7022,1,2,1,50.0,27.644230769230756,27.644230769230756,17.69736842105264,2.3026315789473633,历史1/2次成功; 当前距低点2.30%; 最新日涨幅-5.18%; 状态bottom_area; 底部未确认
14,62.07,51.725,002269,美邦服饰,bottom_area,2024-06-04,1.19,2024-06-04,1.19,0.0,0.0,30.813953488372096,False,-9.8485,0.4933,1,4,1,25.0,173.50993377483442,173.50993377483442,20.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-9.85%; 状态bottom_area; 底部未确认
15,61.09740458015267,50.914503816793896,002742,三圣股份,bottom_area,2024-06-04,1.4,2024-06-04,1.4,0.0,0.0,29.292929292929298,False,-4.7619,0.2222,1,2,1,50.0,24.809160305343507,24.809160305343507,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
16,59.764047199827395,51.64603302650026,300752,隆利科技,bottom_area,2024-06-04,13.36,2024-06-04,13.1,1.9847328244274793,6.793893129770997,27.019498607242337,False,-4.023,6.3281,1,4,1,25.0,21.807655194596325,21.807655194596325,18.01526717557252,1.9847328244274793,历史1/4次成功; 当前距低点1.98%; 最新日涨幅-4.02%; 状态bottom_area; 底部未确认
17,53.715767116738085,47.08732114076839,000679,大连友谊,bottom_area,2024-06-04,2.6,2024-06-04,2.53,2.7667984189723436,11.067193675889339,27.507163323782247,False,-7.4733,3.8706,1,6,1,16.666666666666664,24.94061757719715,24.94061757719715,17.233201581027657,2.7667984189723436,历史1/6次成功; 当前距低点2.77%; 最新日涨幅-7.47%; 状态bottom_area; 底部未确认
