rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.38361293199553,76.96641025641026,600418,江淮汽车,bottom_area,2022-01-20,13.8,2022-01-20,13.65,1.0989010989011014,4.4688644688644645,27.122263747997867,False,-2.7484,2.4525,1,1,1,100.0,24.365079365079367,24.365079365079367,6.901098901098898,1.0989010989011014,历史1/1次成功; 当前距低点1.10%; 最新日涨幅-2.75%; 状态bottom_area; 底部未确认
2,78.74416226235948,73.91374300142151,601778,晶科科技,bottom_area,2022-01-20,7.1,2022-01-20,7.05,0.7092198581560258,3.546099290780142,27.692307692307693,False,-2.6063,1.7044,2,2,2,100.0,26.348195043103452,42.344827586206904,7.290780141843975,0.7092198581560258,历史2/2次成功; 当前距低点0.71%; 最新日涨幅-2.61%; 状态bottom_area; 底部未确认
3,77.4075131326736,72.55019987621813,300421,力星股份,bottom_area,2022-01-20,15.94,2022-01-20,15.84,0.631313131313129,6.376262626262637,30.220264317180618,False,-4.9493,3.8109,2,2,2,100.0,28.27738610544126,43.59974009096816,7.368686868686872,0.631313131313129,历史2/2次成功; 当前距低点0.63%; 最新日涨幅-4.95%; 状态bottom_area; 底部未确认
4,77.14142462335585,74.13124672599719,600032,浙江新能,bottom_area,2022-01-20,13.2,2022-01-20,12.95,1.9305019305019304,5.328185328185339,28.92425905598244,False,-2.583,5.0452,1,1,1,100.0,19.31608133086876,19.31608133086876,6.069498069498069,1.9305019305019304,历史1/1次成功; 当前距低点1.93%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
5,76.66450909574765,71.58287567781673,300482,万孚生物,bottom_area,2022-01-20,43.86,2022-01-20,43.67,0.43508129150446007,6.411724295855271,27.937293729372936,False,-1.5709,7.5822,2,2,2,100.0,10.456242056166142,10.99512874043146,7.56491870849554,0.43508129150446007,历史2/2次成功; 当前距低点0.44%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
6,75.9144372907605,71.34890616433186,300484,蓝海华腾,bottom_area,2022-01-20,14.29,2022-01-20,14.18,0.7757404795486561,5.430183356840618,30.896686159844055,False,-4.5424,3.2461,2,2,2,100.0,23.589217514531214,28.708133971291865,7.224259520451344,0.7757404795486561,历史2/2次成功; 当前距低点0.78%; 最新日涨幅-4.54%; 状态bottom_area; 底部未确认
7,75.42325593228749,70.20375906283337,002256,兆新股份,bottom_area,2022-01-20,3.68,2022-01-20,3.67,0.27247956403270385,6.811989100817439,28.039215686274506,False,-5.1546,8.7309,1,1,1,100.0,27.930174563591027,27.930174563591027,7.727520435967296,0.27247956403270385,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-5.15%; 状态bottom_area; 底部未确认
8,75.26196566532745,70.16602704445691,688317,之江生物,confirmed_rebound,2022-01-20,53.6,2022-01-20,53.41,0.3557386257255286,8.59389627410598,32.69909274193549,False,-6.4246,10.7046,1,1,1,100.0,38.96296296296296,38.96296296296296,7.644261374274472,0.3557386257255286,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-6.42%; 状态confirmed_rebound; 底部未确认
9,73.4665725271858,69.03025592834172,600257,大湖股份,bottom_area,2022-01-20,6.61,2022-01-19,6.56,0.7621951219512304,6.554878048780497,28.462377317339154,False,-3.5036,12.7886,2,2,2,100.0,10.95731616338992,13.44902386117137,7.23780487804877,0.7621951219512304,历史2/2次成功; 当前距低点0.76%; 最新日涨幅-3.50%; 状态bottom_area; 底部未确认
10,72.78657992565057,67.39498141263941,601798,蓝科高新,bottom_area,2022-01-20,7.63,2022-01-20,7.63,0.0,4.849279161205768,28.0188679245283,False,-3.9043,2.7557,1,1,1,100.0,21.74721189591078,21.74721189591078,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.90%; 状态bottom_area; 底部未确认
11,72.15503321650283,67.02818355026871,300690,双一科技,bottom_area,2022-01-20,23.69,2022-01-20,23.65,0.16913319238901775,5.58139534883721,28.093645484949835,False,-4.6296,3.1118,1,1,1,100.0,9.590361445783124,9.590361445783124,7.830866807610983,0.16913319238901775,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-4.63%; 状态bottom_area; 底部未确认
12,71.31316149944035,66.89458992697297,002240,盛新锂能,bottom_area,2022-01-20,44.74,2022-01-20,44.44,0.6750675067506847,5.355535553555361,27.027914614121514,False,-3.7435,2.9331,1,1,1,100.0,15.073891625615756,15.073891625615756,7.324932493249316,0.6750675067506847,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-3.74%; 状态bottom_area; 底部未确认
13,71.23923285493257,66.91261204095683,688286,敏芯股份,bottom_area,2022-01-20,74.58,2022-01-20,74.03,0.7429420505200556,4.822369309739286,30.48826291079812,False,-3.606,2.6806,1,1,1,100.0,16.00279524807827,16.00279524807827,7.257057949479945,0.7429420505200556,历史1/1次成功; 当前距低点0.74%; 最新日涨幅-3.61%; 状态bottom_area; 底部未确认
14,70.65000000000002,65.41666666666669,601218,吉鑫科技,bottom_area,2022-01-20,5.05,2022-01-20,5.05,0.0,3.960396039603964,28.772919605077576,False,-3.626,2.2914,1,1,1,100.0,11.111111111111114,11.111111111111114,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.63%; 状态bottom_area; 底部未确认
15,65.47597451813935,65.92722175809895,688075,安旭生物,confirmed_rebound,2022-01-20,219.15,2022-01-20,210.0,4.35714285714286,25.238095238095237,30.638129211256437,False,-3.5941,19.7633,1,1,1,100.0,25.384448776261635,25.384448776261635,3.64285714285714,4.35714285714286,历史1/1次成功; 当前距低点4.36%; 最新日涨幅-3.59%; 状态confirmed_rebound; 底部未确认
16,65.28460863548219,64.77398162703547,688068,热景生物,confirmed_rebound,2022-01-20,169.88,2022-01-20,163.99,3.5916824196597266,13.824013659369466,32.790983606557376,False,-4.185,16.6954,1,1,1,100.0,9.80116959064327,9.80116959064327,4.408317580340274,3.5916824196597266,历史1/1次成功; 当前距低点3.59%; 最新日涨幅-4.18%; 状态confirmed_rebound; 底部未确认
